Top pages,Clicks,Impressions,CTR,Position
https://mychef.id/locations,3,204,1.47%,19.79
https://mychef.id/staffing/live-in-chef,3,141,2.13%,14.91
https://mychef.id/events/baby-showers,3,93,3.23%,8.87
https://mychef.id/about,3,74,4.05%,7.16
https://mychef.id/seminyak,3,63,4.76%,15.73
https://mychef.id/in-villa-service/waiters,3,43,6.98%,10.26
https://mychef.id/experiences/private-cocktail-party,3,25,12%,8.48
https://mychef.id/menus/vegan,3,23,13.04%,5.09
https://mychef.id/press,2,242,0.83%,6.62
https://mychef.id/events/retreats,2,223,0.9%,18.13
https://mychef.id/catering/villa-catering,2,176,1.14%,28.02
https://mychef.id/calculator,2,164,1.22%,29.1
https://mychef.id/fine-dining/private-chef-bali,2,161,1.24%,64.96
https://mychef.id/locations/pererenan,2,109,1.83%,18.09
https://mychef.id/denpasar,2,93,2.15%,5.34
https://mychef.id/staffing/household-staff,2,86,2.33%,8.21
https://mychef.id/chef-table-experience-bali,2,83,2.41%,18.95
https://mychef.id/private-chef/canggu,2,63,3.17%,11.56
https://mychef.id/legian,2,44,4.55%,8.68
https://mychef.id/bar-services/,2,36,5.56%,7.97
https://mychef.id/tabanan,2,24,8.33%,4.33
https://mychef.id/locations/nusa-dua,1,305,0.33%,25.44
https://mychef.id/services/birthday-celebrations,1,198,0.51%,22.19
https://mychef.id/fine-dining/chefs-table,1,173,0.58%,21.87
https://mychef.id/jimbaran,1,166,0.6%,20.26
https://mychef.id/gianyar,1,159,0.63%,14.42
https://mychef.id/nusa-dua,1,142,0.7%,16.85
https://mychef.id/kuta,1,136,0.74%,32.91
https://mychef.id/pecatu,1,130,0.77%,15.02
https://mychef.id/berawa,1,126,0.79%,51.03
https://mychef.id/catering/,1,123,0.81%,15.06
https://mychef.id/faq,1,103,0.97%,16.96
https://mychef.id/catering/corporate-catering,1,69,1.45%,37.86
https://mychef.id/in-villa-service/bartenders,1,66,1.52%,21.61
https://mychef.id/private-chef-puri-indah,1,55,1.82%,5.56
https://mychef.id/villa-event-packages,1,55,1.82%,39.95
https://mychef.id/journal/yoga-retreat-meal-planning-bali,1,51,1.96%,5.55
https://mychef.id/journal/private-chef-cost-bali,1,39,2.56%,13.21
https://mychef.id/private-chef-scbd,1,28,3.57%,7.32
https://mychef.id/blog/yoga-retreat-chef-bali-meal-planning,1,27,3.7%,6.81
https://mychef.id/recommended-services,1,27,3.7%,8.85
https://mychef.id/blog/private-chef-breakfast-bali-villas,1,25,4%,10.08
https://mychef.id/menus/balinese,1,8,12.5%,9.88
https://mychef.id/staffing/villa-staff,1,5,20%,10.8
https://mychef.id/payment-terms,1,3,33.33%,5.67
https://mychef.id/events/weddings,0,373,0%,38.37
https://mychef.id/blog/wedding-private-chef-bali-planning-guide,0,271,0%,11.94
https://mychef.id/catering/plated-catering,0,198,0%,15.19
https://mychef.id/partner-platform,0,145,0%,15.44
https://mychef.id/blog/fine-dining-trends-bali-2026-innovations,0,128,0%,7.95
https://mychef.id/blog/corporate-events-catering-bali-team-dining,0,116,0%,9.64
https://mychef.id/cancellation,0,107,0%,7.03
https://mychef.id/catering/retreat-catering,0,93,0%,16.65
https://mychef.id/journal/private-chef-canggu-guide,0,89,0%,28.11
https://mychef.id/events/corporate-events,0,86,0%,25.5
https://mychef.id/private-tasting-menu-bali,0,86,0%,60.13
https://mychef.id/pererenan,0,85,0%,7.74
https://mychef.id/staffing/for-villa-managers,0,80,0%,25.6
https://mychef.id/fine-dining/our-chefs,0,75,0%,53.8
https://mychef.id/catering/floating-breakfast,0,74,0%,39.78
https://mychef.id/fine-dining,0,70,0%,61.31
https://mychef.id/fine-dining/romantic-dinner,0,68,0%,62.79
https://mychef.id/pricing,0,60,0%,79.67
https://mychef.id/fine-dining/menus,0,57,0%,65.95
https://mychef.id/staffing/private-chef-placement,0,55,0%,56.05
https://mychef.id/catering/drop-off-catering,0,54,0%,8.11
https://mychef.id/events/birthdays,0,53,0%,30.47
https://mychef.id/kids-menus,0,49,0%,13.49
https://mychef.id/journal,0,46,0%,16.07
https://mychef.id/join-our-team,0,46,0%,27.8
https://mychef.id/events/villa-parties,0,42,0%,51.17
https://mychef.id/three-course,0,41,0%,31.46
https://mychef.id/journal/bali-wedding-catering-complete-guide,0,34,0%,38.97
https://mychef.id/complete-villa-experience,0,32,0%,47.09
https://mychef.id/villa-chef,0,32,0%,64.22
https://mychef.id/catering/grazing-tables,0,29,0%,17.83
https://mychef.id/staffing/for-hotels-restaurants,0,26,0%,74.5
https://mychef.id/html/head/title,0,25,0%,9
https://mychef.id/group-villa-dinner-packages-bali,0,24,0%,22.04
https://mychef.id/in-villa-service/sommelier,0,23,0%,18.22
https://mychef.id/quote,0,20,0%,5.85
https://mychef.id/locations/bukit,0,19,0%,6.42
https://mychef.id/events,0,19,0%,59.95
https://mychef.id/catering/babi-guling,0,18,0%,8.28
https://mychef.id/blog/fine-dining-guide,0,18,0%,25.94
https://mychef.id/bbq-grill,0,18,0%,27
https://mychef.id/journal/bali-catering-vs-restaurant,0,16,0%,63.31
https://mychef.id/blog/fine-dining-at-home-bali,0,15,0%,17.2
https://mychef.id/padang-bai,0,13,0%,8.08
https://mychef.id/michelin-private-chef-bali-prices,0,13,0%,11.38
https://mychef.id/menus/asian-fusion,0,13,0%,24.62
https://mychef.id/contact,0,12,0%,30.5
https://mychef.id/experiences/champagne-oyster-experience,0,11,0%,8.45
https://mychef.id/private-chef-pondok-indah,0,11,0%,13.36
https://mychef.id/services/villa-parties,0,11,0%,43.27
https://mychef.id/blog/chef-qualifications-credentials-bali-hiring,0,11,0%,75.18
https://mychef.id/blog/chef-for-photoshoot-bali,0,10,0%,22.9
https://mychef.id/services/corporate-events,0,9,0%,4.22
https://mychef.id/experiences,0,9,0%,22.22
https://mychef.id/certified-partner,0,9,0%,57.44
https://mychef.id/journal/private-chef-ubud-villa-dining,0,8,0%,6.25
https://mychef.id/chefs,0,8,0%,34.5
https://mychef.id/blog/hotel-restaurant-chef-staffing,0,8,0%,73.12
https://mychef.id/vip-transport-bali,0,7,0%,7.29
https://mychef.id/menus/mediterranean,0,7,0%,13
https://mychef.id/fine-dining/,0,7,0%,45.43
https://mychef.id/dining-styles,0,7,0%,62.57
https://mychef.id/experiences/sushi-masterclass,0,6,0%,1.33
https://mychef.id/blog/private-chef-bali-cost-breakdown-detailed-2026,0,6,0%,10.83
https://mychef.id/blog/best-bali-villas-private-chef-kitchen,0,6,0%,38.33
https://mychef.id/locations/jimbaran,0,5,0%,8.6
https://mychef.id/guide/private-chef-bali,0,5,0%,42
https://mychef.id/family-styling,0,4,0%,6.5
https://mychef.id/blog/wedding-rehearsal-dinner-bali,0,4,0%,7.25
https://mychef.id/private-chef-for-events,0,4,0%,50.5
https://mychef.id/events/,0,4,0%,64.75
https://mychef.id/reviews,0,3,0%,1.33
https://mychef.id/terms,0,3,0%,3.67
https://mychef.id/privacy,0,3,0%,7
https://mychef.id/generated/mychef-location-bali-city-seminyak.webp,0,2,0%,4
https://mychef.id/private-chef/ubud,0,2,0%,92
https://mychef.id/families,0,1,0%,1
https://mychef.id/private-chef-kuningan,0,1,0%,1
https://mychef.id/blog/drop-off-catering-bali,0,1,0%,2
https://mychef.id/kemang,0,1,0%,11
https://mychef.id/blog/dining-by-location-bali-neighborhood-guide,0,1,0%,12
https://mychef.id/experiences/romantic-proposal-dinner,0,1,0%,49
https://mychef.id/partners,0,1,0%,88
